PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,DewpointTemp,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,20.8,0.0,19.9,0,0,0,40.0,94.5,917.2,35,1.5
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,20.5,0.0,19.7,0,0,0,39.9,95.2,917.6,41,1.5
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,20.8,2.6,19.8,3,15,5,39.6,93.6,918.1,44,1.8
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,21.7,64.7,20.0,48,2,49,39.2,89.9,918.6,44,2.6
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,22.6,52.4,20.2,179,2,180,38.7,86.4,919.2,43,3.4
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,23.3,28.7,20.5,348,134,433,38.1,84.4,919.2,44,3.9
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,23.8,28.3,20.9,454,160,577,37.5,83.7,918.6,46,4.0
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,24.3,18.9,21.2,428,384,775,36.9,83.0,918.1,47,4.0
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,25.2,28.2,21.2,578,173,744,36.7,78.4,917.6,49,4.1
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,26.5,33.8,20.7,625,73,697,36.8,70.7,917.1,51,4.0
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,27.8,33.5,20.3,595,72,664,37.0,63.8,916.6,53,3.9
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,28.2,51.4,19.8,428,0,428,37.1,60.3,916.4,52,3.6
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,27.7,57.8,19.1,284,0,284,37.3,59.7,916.3,48,3.0
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,27.2,43.1,18.5,262,9,266,37.4,59.1,916.2,42,2.5
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,26.3,51.1,18.3,116,0,116,37.1,61.2,916.5,42,2.3
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,25.0,46.8,18.4,21,0,21,36.4,66.5,917.1,49,2.4
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,23.8,53.5,18.5,0,0,0,35.7,72.2,917.6,55,2.5
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,22.9,41.5,18.4,0,0,0,35.3,75.9,918.2,53,2.6
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,22.4,49.6,18.2,0,0,0,35.2,77.2,918.7,45,2.5
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,21.9,54.2,18.0,0,0,0,35.0,78.5,919.2,36,2.5
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,21.5,51.5,17.8,0,0,0,35.1,79.2,919.1,33,2.4
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,21.3,52.3,17.6,0,0,0,35.3,79.3,918.5,38,2.2
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,21.1,49.2,17.4,0,0,0,35.6,79.4,917.9,43,2.0
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,20.9,1.2,17.4,0,0,0,35.7,80.5,917.7,49,1.9
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,20.7,0.0,17.7,0,0,0,35.8,82.7,918.0,55,1.9
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,20.6,0.0,18.0,0,0,0,35.9,84.9,918.2,61,1.9
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,21.0,0.3,18.5,4,14,5,35.8,85.5,918.6,61,2.3
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,21.9,11.2,19.2,78,188,114,35.4,84.5,919.1,57,3.1
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,22.8,6.4,19.9,129,504,340,35.1,83.4,919.7,55,3.8
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,23.8,0.3,20.1,113,790,596,34.9,79.7,919.7,53,4.2
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,24.9,0.0,19.8,119,877,803,34.6,73.6,919.3,52,4.1
2019-01-01T09:00:00Z,2019-01-01T08:00:00Z,PT60M,25.9,2.2,19.5,169,848,935,34.4,68.0,918.8,51,4.1
2019-01-01T10:00:00Z,2019-01-01T09:00:00Z,PT60M,26.9,2.0,19.2,184,857,1021,34.4,62.7,918.3,51,4.0
2019-01-01T11:00:00Z,2019-01-01T10:00:00Z,PT60M,27.9,2.2,18.8,186,858,1036,34.5,57.7,917.6,51,3.8
2019-01-01T12:00:00Z,2019-01-01T11:00:00Z,PT60M,28.9,2.3,18.4,179,848,981,34.7,53.1,917.0,51,3.7
2019-01-01T13:00:00Z,2019-01-01T12:00:00Z,PT60M,29.3,2.7,18.1,172,813,857,34.7,51.1,916.5,52,3.5
2019-01-01T14:00:00Z,2019-01-01T13:00:00Z,PT60M,29.1,0.1,18.0,111,850,698,34.7,51.3,916.2,56,3.4
2019-01-01T15:00:00Z,2019-01-01T14:00:00Z,PT60M,28.9,0.1,17.9,92,761,474,34.6,51.5,915.8,60,3.2
2019-01-01T16:00:00Z,2019-01-01T15:00:00Z,PT60M,28.1,1.1,17.9,71,558,232,34.5,54.1,916.0,62,3.1
2019-01-01T17:00:00Z,2019-01-01T16:00:00Z,PT60M,26.6,8.1,18.0,21,134,39,34.1,59.4,916.5,60,2.8
2019-01-01T18:00:00Z,2019-01-01T17:00:00Z,PT60M,25.1,3.1,18.2,0,0,0,33.8,65.3,917.0,58,2.6
2019-01-01T19:00:00Z,2019-01-01T18:00:00Z,PT60M,24.1,0.1,18.2,0,0,0,33.7,69.6,917.5,53,2.5
2019-01-01T20:00:00Z,2019-01-01T19:00:00Z,PT60M,23.4,0.0,18.1,0,0,0,33.7,72.0,918.0,45,2.4
2019-01-01T21:00:00Z,2019-01-01T20:00:00Z,PT60M,22.8,0.0,18.0,0,0,0,33.7,74.4,918.5,37,2.4
2019-01-01T22:00:00Z,2019-01-01T21:00:00Z,PT60M,22.3,0.0,18.0,0,0,0,34.0,76.8,918.5,29,2.4
2019-01-01T23:00:00Z,2019-01-01T22:00:00Z,PT60M,21.8,0.0,18.0,0,0,0,34.5,79.2,917.9,19,2.3
2019-01-02T00:00:00Z,2019-01-01T23:00:00Z,PT60M,21.4,0.0,18.1,0,0,0,34.9,81.6,917.4,10,2.4
2019-01-02T01:00:00Z,2019-01-02T00:00:00Z,PT60M,21.0,0.0,18.1,0,0,0,35.2,83.3,917.2,8,2.3
2019-01-02T02:00:00Z,2019-01-02T01:00:00Z,PT60M,20.8,0.0,18.1,0,0,0,35.4,84.3,917.4,15,2.3
2019-01-02T03:00:00Z,2019-01-02T02:00:00Z,PT60M,20.6,0.0,18.1,0,0,0,35.6,85.3,917.6,22,2.2
2019-01-02T04:00:00Z,2019-01-02T03:00:00Z,PT60M,21.4,0.4,18.3,4,13,5,35.7,82.8,917.8,31,2.1
2019-01-02T05:00:00Z,2019-01-02T04:00:00Z,PT60M,23.0,10.7,18.9,72,217,117,35.8,77.5,918.2,41,2.1
2019-01-02T06:00:00Z,2019-01-02T05:00:00Z,PT60M,24.7,7.1,19.4,131,498,337,35.9,72.5,918.6,51,2.2
2019-01-02T07:00:00Z,2019-01-02T06:00:00Z,PT60M,26.0,0.3,19.6,113,791,594,36.0,67.9,918.6,54,2.3
2019-01-02T08:00:00Z,2019-01-02T07:00:00Z,PT60M,26.9,0.7,19.5,137,844,794,36.1,63.7,918.1,50,2.5
2019-01-02T09:00:00Z,2019-01-02T08:00:00Z,PT60M,27.9,5.8,19.3,250,716,894,36.1,59.8,917.6,48,2.7
2019-01-02T10:00:00Z,2019-01-02T09:00:00Z,PT60M,28.5,11.6,19.3,373,558,917,36.4,57.7,916.9,43,2.5
2019-01-02T11:00:00Z,2019-01-02T10:00:00Z,PT60M,28.6,12.4,19.4,384,546,925,37.0,57.4,916.2,31,1.9
2019-01-02T12:00:00Z,2019-01-02T11:00:00Z,PT60M,28.8,20.1,19.5,480,339,799,37.6,57.0,915.5,9,1.4
2019-01-02T13:00:00Z,2019-01-02T12:00:00Z,PT60M,29.0,9.9,19.5,302,580,786,38.2,56.7,915.0,8,1.1
2019-01-02T14:00:00Z,2019-01-02T13:00:00Z,PT60M,29.2,5.0,19.6,186,683,660,38.8,56.4,914.7,45,1.0
2019-01-02T15:00:00Z,2019-01-02T14:00:00Z,PT60M,29.4,4.3,19.7,137,625,451,39.3,56.1,914.5,74,1.3
2019-01-02T16:00:00Z,2019-01-02T15:00:00Z,PT60M,28.9,5.5,19.9,89,449,222,39.8,58.4,914.8,80,1.6
2019-01-02T17:00:00Z,2019-01-02T16:00:00Z,PT60M,27.7,22.3,20.2,25,72,35,40.1,63.6,915.7,75,1.6
2019-01-02T18:00:00Z,2019-01-02T17:00:00Z,PT60M,26.5,29.1,20.4,0,0,0,40.5,69.3,916.6,70,1.7
2019-01-02T19:00:00Z,2019-01-02T18:00:00Z,PT60M,25.5,12.3,20.5,0,0,0,40.6,74.0,917.3,59,1.5
2019-01-02T20:00:00Z,2019-01-02T19:00:00Z,PT60M,24.8,12.7,20.6,0,0,0,40.6,77.4,917.8,35,1.3
2019-01-02T21:00:00Z,2019-01-02T20:00:00Z,PT60M,24.1,15.4,20.6,0,0,0,40.6,80.9,918.2,10,1.4
2019-01-02T22:00:00Z,2019-01-02T21:00:00Z,PT60M,23.5,8.6,20.5,0,0,0,40.8,83.6,918.1,354,1.1
2019-01-02T23:00:00Z,2019-01-02T22:00:00Z,PT60M,22.9,8.6,20.4,0,0,0,41.3,85.5,917.4,292,0.3
2019-01-03T00:00:00Z,2019-01-02T23:00:00Z,PT60M,22.4,8.1,20.2,0,0,0,41.7,87.3,916.7,210,0.9
2019-01-03T01:00:00Z,2019-01-03T00:00:00Z,PT60M,22.1,0.2,20.3,0,0,0,42.1,89.3,916.4,195,1.4
2019-01-03T02:00:00Z,2019-01-03T01:00:00Z,PT60M,22.0,0.0,20.5,0,0,0,42.4,91.4,916.5,180,1.4
2019-01-03T03:00:00Z,2019-01-03T02:00:00Z,PT60M,21.9,1.0,20.8,0,0,0,42.7,93.5,916.6,166,1.6
